Date,Open,High,Low,Close,Adj Close,Volume
2016-03-21,103.980003,104.360001,103.800003,104.230003,98.880661,2539300
2016-03-22,103.750000,104.519997,103.610001,104.199997,98.852165,1962600
2016-03-23,104.040001,104.040001,103.279999,103.349998,98.045807,6087100
2016-03-24,102.760002,103.330002,102.529999,103.320000,98.017357,2173000
2016-03-28,103.580002,103.709999,103.070000,103.389999,98.083763,2103400
2016-03-29,103.190002,104.550003,102.959999,104.540001,99.174751,2920300
2016-03-30,105.040001,105.389999,104.730003,104.940002,99.554207,2258800
2016-03-31,104.970001,105.220001,104.699997,104.820000,99.440361,2230100
2016-04-01,104.300003,105.570000,103.949997,105.480003,100.066505,2996000
2016-04-04,105.489998,105.550003,104.889999,105.040001,99.649078,1847400
2016-04-05,104.309998,104.550003,103.870003,104.019997,98.681427,2572500
2016-04-06,104.089996,105.199997,103.900002,105.160004,99.762924,2565100
2016-04-07,104.500000,104.739998,103.440002,103.900002,98.567596,2134800
2016-04-08,104.570000,104.900002,103.910004,104.199997,98.852165,2337000
2016-04-11,104.650002,105.050003,103.910004,103.910004,98.577087,2276300
2016-04-12,104.099998,105.099998,103.779999,104.919998,99.535225,2357200
2016-04-13,105.500000,106.169998,105.430000,106.150002,100.702110,2864500
2016-04-14,106.239998,106.389999,105.900002,106.110001,100.664162,1666900
2016-04-15,106.120003,106.190002,105.870003,106.059998,100.616730,1622600
2016-04-18,105.739998,106.790001,105.610001,106.769997,101.290283,1764600
2016-04-19,107.019997,107.309998,106.610001,107.070000,101.574890,2103700
2016-04-20,107.209999,107.639999,106.830002,107.180000,101.679245,1958900
2016-04-21,107.260002,107.330002,106.480003,106.650002,101.176445,1675200
2016-04-22,106.510002,106.930000,106.239998,106.800003,101.318756,1893600
2016-04-25,106.500000,106.589996,106.059998,106.540001,101.072105,2088100
2016-04-26,106.779999,107.050003,106.440002,106.830002,101.347206,1747500
2016-04-27,106.660004,107.330002,106.419998,107.089996,101.593857,2267900
2016-04-28,106.629997,107.300003,105.870003,106.129997,100.683121,4834200
2016-04-29,105.800003,105.959999,104.809998,105.510002,100.094955,3068000
2016-05-02,105.800003,106.400002,105.470001,106.330002,100.872902,2546500
2016-05-03,105.620003,105.680000,104.820000,105.260002,99.857788,5172600
2016-05-04,104.760002,105.169998,104.370003,104.639999,99.269608,2578800
2016-05-05,104.949997,105.169998,104.370003,104.599998,99.231667,1616700
2016-05-06,104.139999,104.989998,104.000000,104.980003,99.592155,1759600
2016-05-09,104.870003,105.339996,104.769997,105.089996,99.696510,1747300
2016-05-10,105.500000,106.400002,105.410004,106.339996,100.882355,2400200
2016-05-11,106.089996,106.290001,105.339996,105.370003,99.962151,1531600
2016-05-12,105.820000,105.879997,104.720001,105.330002,99.924194,2470000
2016-05-13,105.080002,105.480003,104.220001,104.419998,99.060898,3754800
2016-05-16,104.580002,105.750000,104.410004,105.459999,100.047531,2069600
2016-05-17,105.260002,105.459999,104.160004,104.510002,99.146278,2792200
2016-05-18,104.260002,105.199997,103.820000,104.500000,99.136787,2798600
2016-05-19,104.080002,104.360001,103.370003,104.089996,98.747833,2616800
